Date,Symbol,Order,Shares
2018-01-22,SHB,BUY,2000
2018-01-24,NDN,BUY,1000
2018-01-24,PVS,BUY,300
2018-02-21,NDN,SELL,1000
2018-02-21,SHB,SELL,1000

