Ticker,Date,Open,High,Low,Close,Volume
HTN,11/13/2018 00:00:00,15.2873,15.2873,15.2873,15.2873,256400
HTN,11/14/2018 00:00:00,15.3385,16.1054,14.6738,15.4407,332170
HTN,11/15/2018 00:00:00,14.6227,15.6452,14.6227,15.543,214090
HTN,11/16/2018 00:00:00,15.0828,15.8497,15.0828,15.543,274160
HTN,11/19/2018 00:00:00,15.4407,15.5941,14.9806,15.5941,241150
HTN,11/20/2018 00:00:00,15.5941,15.5941,15.0828,15.0828,130070
HTN,11/21/2018 00:00:00,15.0828,15.1339,14.8272,14.8272,119290
HTN,11/22/2018 00:00:00,15.1851,15.1851,14.367,15.0828,192500
HTN,11/23/2018 00:00:00,15.0828,15.2362,14.8272,14.8783,152850
HTN,11/26/2018 00:00:00,15.2618,15.4407,15.0828,15.3385,209270
HTN,11/27/2018 00:00:00,15.3385,15.4407,15.1851,15.4407,265630
HTN,11/28/2018 00:00:00,15.3385,15.5174,15.1851,15.4407,457020
HTN,11/29/2018 00:00:00,15.3385,15.4918,15.2106,15.4407,322000
HTN,11/30/2018 00:00:00,16.3957,16.3957,15.5295,15.5295,116870
HTN,12/3/2018 00:00:00,15.5295,15.8698,15.5295,15.6532,193120
HTN,12/4/2018 00:00:00,15.1583,15.3129,14.8489,15.0345,177060
HTN,12/5/2018 00:00:00,14.8489,14.9726,14.5396,14.7252,230920
HTN,12/6/2018 00:00:00,14.5396,15.1583,14.5396,15.1583,238730
HTN,12/7/2018 00:00:00,14.7252,15.2201,14.5396,14.9726,137610
HTN,12/10/2018 00:00:00,14.6942,15.0036,14.4777,14.6633,96290
HTN,12/11/2018 00:00:00,14.6633,14.787,14.4158,14.6633,87890
HTN,12/12/2018 00:00:00,14.6324,14.7561,14.4777,14.6942,100300
HTN,12/13/2018 00:00:00,14.6014,14.7252,14.4158,14.5396,82280
HTN,12/14/2018 00:00:00,14.5086,14.5086,14.2302,14.2302,34080
HTN,12/17/2018 00:00:00,14.2302,14.2921,14.0137,14.1683,12810
HTN,12/18/2018 00:00:00,13.2403,14.1374,13.2403,13.2403,17080
HTN,12/19/2018 00:00:00,13.6115,13.6115,12.9928,13.2403,13640
HTN,12/20/2018 00:00:00,13.5496,13.5496,12.4978,13.3021,9800
HTN,12/21/2018 00:00:00,13.4259,14.2302,12.8072,14.2302,199450
HTN,12/24/2018 00:00:00,15.1583,15.1583,14.2302,14.787,34740
HTN,12/25/2018 00:00:00,14.787,14.787,14.2302,14.6324,23060
HTN,12/26/2018 00:00:00,14.2302,14.8489,14.2302,14.4158,16140
HTN,12/27/2018 00:00:00,14.6633,14.6633,14.4467,14.4467,128010
HTN,12/28/2018 00:00:00,14.5396,14.8489,14.2302,14.2302,22110
HTN,1/2/2019 00:00:00,14.5396,14.5396,14.1065,14.2921,19450
HTN,1/3/2019 00:00:00,14.3539,14.3849,13.364,14.2302,196230
HTN,1/4/2019 00:00:00,14.2302,14.2302,14.1683,14.1683,350
HTN,1/7/2019 00:00:00,14.323,14.323,13.6734,14.1683,12580
HTN,1/8/2019 00:00:00,14.1683,14.1683,13.7043,13.7043,2180
HTN,1/9/2019 00:00:00,13.7043,14.1683,13.7043,13.7971,18260
HTN,1/10/2019 00:00:00,13.9208,13.9208,13.6115,13.6115,14950
HTN,1/11/2019 00:00:00,13.859,13.8899,13.6115,13.859,26220
HTN,1/14/2019 00:00:00,13.6115,14.2302,13.6115,13.7352,9800
HTN,1/15/2019 00:00:00,13.7971,14.1683,13.5187,13.5187,73360
HTN,1/16/2019 00:00:00,13.7662,13.9827,13.5187,13.9208,10840
HTN,1/17/2019 00:00:00,13.859,14.1065,13.5496,13.9518,7410
HTN,1/18/2019 00:00:00,13.9518,14.0446,13.4568,14.0446,19880
HTN,1/21/2019 00:00:00,13.9208,14.1065,13.6115,14.0446,23410
HTN,1/22/2019 00:00:00,13.9827,14.0755,13.7971,13.9827,2490
HTN,1/23/2019 00:00:00,14.0137,14.0755,13.9208,14.0446,15780
HTN,1/24/2019 00:00:00,14.1065,14.1065,13.9208,13.9208,10060
HTN,1/25/2019 00:00:00,13.9208,14.8489,13.9208,14.0446,55230
HTN,1/28/2019 00:00:00,14.8489,14.8489,14.1683,14.323,68180
HTN,1/29/2019 00:00:00,14.5396,14.5396,13.7043,13.7043,30440
HTN,1/30/2019 00:00:00,14.1065,14.1065,13.7352,13.9827,12610
HTN,1/31/2019 00:00:00,13.9827,14.2302,13.7043,13.9827,18090
HTN,2/1/2019 00:00:00,13.9827,14.2302,13.9827,14.2302,21900
HTN,2/11/2019 00:00:00,14.2302,14.323,13.9208,14.323,49560
HTN,2/12/2019 00:00:00,14.2921,14.3539,13.9208,14.0446,42290
HTN,2/13/2019 00:00:00,14.0446,14.0446,13.859,14.0137,13320
