Ticker,Date,Open,High,Low,Close,Volume
HCM,20/05/2009 00:00:00,3.64117,3.64117,3.64117,3.64117,20
HCM,21/05/2009 00:00:00,3.82323,3.82323,3.82323,3.82323,10
HCM,22/05/2009 00:00:00,4.00528,4.00528,4.00528,4.00528,500
HCM,25/05/2009 00:00:00,4.19805,4.19805,4.19805,4.19805,10
HCM,26/05/2009 00:00:00,4.40153,4.40153,4.40153,4.40153,10
HCM,27/05/2009 00:00:00,4.61572,4.61572,4.61572,4.61572,16040
HCM,28/05/2009 00:00:00,4.84061,4.84061,4.84061,4.84061,21900
HCM,29/05/2009 00:00:00,5.07622,5.07622,5.07622,5.07622,25850
HCM,01/06/2009 00:00:00,5.32253,5.32253,5.32253,5.32253,61090
HCM,02/06/2009 00:00:00,5.56884,5.56884,5.56884,5.56884,16350
HCM,03/06/2009 00:00:00,5.83658,5.83658,5.83658,5.83658,41500
HCM,04/06/2009 00:00:00,6.10431,6.10431,6.10431,6.10431,161220
HCM,05/06/2009 00:00:00,6.37204,6.37204,6.37204,6.37204,500
HCM,08/06/2009 00:00:00,6.63978,6.63978,6.63978,6.63978,55600
HCM,09/06/2009 00:00:00,6.96106,6.96106,6.96106,6.96106,166030
HCM,10/06/2009 00:00:00,7.28233,7.28233,7.28233,7.28233,333800
HCM,11/06/2009 00:00:00,7.60361,7.60361,7.49652,7.60361,909580
HCM,12/06/2009 00:00:00,7.97844,7.97844,7.97844,7.97844,15670
HCM,15/06/2009 00:00:00,8.35327,8.35327,8.24617,8.35327,858330
HCM,16/06/2009 00:00:00,8.13908,8.35327,7.97844,7.97844,192300
HCM,17/06/2009 00:00:00,7.60361,7.60361,7.60361,7.60361,87640
HCM,18/06/2009 00:00:00,7.92489,7.92489,7.22879,7.28233,870410
HCM,19/06/2009 00:00:00,7.38943,7.38943,6.96106,7.12169,387420
HCM,22/06/2009 00:00:00,6.80042,6.85396,6.80042,6.80042,331730
HCM,23/06/2009 00:00:00,6.47914,6.47914,6.47914,6.47914,193580
HCM,24/06/2009 00:00:00,6.80042,6.80042,6.74687,6.80042,694930
HCM,25/06/2009 00:00:00,7.0146,7.0146,6.47914,6.47914,337330
HCM,26/06/2009 00:00:00,6.2114,6.63978,6.2114,6.42559,330390
HCM,29/06/2009 00:00:00,6.53268,6.74687,6.47914,6.74687,297910
HCM,30/06/2009 00:00:00,6.74687,6.74687,6.42559,6.42559,250170
HCM,01/07/2009 00:00:00,6.10431,6.10431,6.10431,6.10431,261330
HCM,02/07/2009 00:00:00,5.99722,6.2114,5.83658,6.05076,347590
HCM,03/07/2009 00:00:00,5.83658,5.99722,5.78303,5.89012,329670
HCM,06/07/2009 00:00:00,5.99722,6.15786,5.99722,6.15786,218360
HCM,07/07/2009 00:00:00,6.10431,6.26495,5.99722,6.15786,153750
HCM,08/07/2009 00:00:00,6.15786,6.42559,6.15786,6.42559,407630
HCM,09/07/2009 00:00:00,6.63978,6.74687,6.53268,6.74687,399850
HCM,10/07/2009 00:00:00,6.74687,6.74687,6.42559,6.42559,301710
HCM,13/07/2009 00:00:00,6.42559,6.42559,6.10431,6.10431,166480
HCM,14/07/2009 00:00:00,6.10431,6.10431,5.89012,5.94367,206630
HCM,15/07/2009 00:00:00,5.99722,6.2114,5.94367,6.2114,155010
HCM,16/07/2009 00:00:00,6.47914,6.47914,6.3185,6.42559,226180
HCM,17/07/2009 00:00:00,6.26495,6.37204,6.15786,6.15786,109340
HCM,20/07/2009 00:00:00,5.99722,5.99722,5.89012,5.89012,126180
HCM,21/07/2009 00:00:00,5.89012,6.05076,5.78303,5.83658,105350
HCM,22/07/2009 00:00:00,5.89012,5.89012,5.72948,5.83658,113980
HCM,23/07/2009 00:00:00,5.72948,6.10431,5.67594,6.10431,125780
HCM,24/07/2009 00:00:00,6.37204,6.37204,6.37204,6.37204,9480
HCM,27/07/2009 00:00:00,6.63978,6.63978,6.63978,6.63978,74270
HCM,28/07/2009 00:00:00,6.96106,6.96106,6.85396,6.85396,1.17981e+006
HCM,29/07/2009 00:00:00,7.06815,7.12169,6.85396,6.96106,357910
HCM,30/07/2009 00:00:00,6.74687,6.90751,6.69332,6.74687,153170
HCM,31/07/2009 00:00:00,6.90751,7.06815,6.85396,7.06815,211700
HCM,03/08/2009 00:00:00,7.06815,7.28233,6.85396,7.06815,218920
HCM,04/08/2009 00:00:00,7.28233,7.33588,7.17524,7.28233,279050
HCM,05/08/2009 00:00:00,7.17524,7.33588,7.12169,7.22879,250320
HCM,06/08/2009 00:00:00,7.22879,7.33588,7.06815,7.06815,266100
HCM,07/08/2009 00:00:00,6.96106,7.12169,6.96106,6.96106,155730
HCM,10/08/2009 00:00:00,6.96106,7.28233,6.96106,7.17524,181020
HCM,11/08/2009 00:00:00,7.12169,7.22879,7.06815,7.12169,91000
HCM,12/08/2009 00:00:00,7.22879,7.28233,7.0146,7.0146,164290
HCM,13/08/2009 00:00:00,7.22879,7.22879,7.12169,7.12169,175780
HCM,14/08/2009 00:00:00,7.12169,7.17524,7.12169,7.12169,168930
HCM,17/08/2009 00:00:00,7.12169,7.12169,6.90751,6.90751,98740
HCM,18/08/2009 00:00:00,6.80042,6.90751,6.74687,6.85396,183000
HCM,19/08/2009 00:00:00,6.96106,7.0146,6.85396,6.96106,153710
HCM,20/08/2009 00:00:00,7.06815,7.06815,6.96106,7.0146,106110
HCM,21/08/2009 00:00:00,7.28233,7.33588,7.22879,7.33588,812500
HCM,24/08/2009 00:00:00,7.33588,7.55007,7.28233,7.44297,212470
HCM,25/08/2009 00:00:00,7.33588,7.44297,7.22879,7.28233,166120
HCM,26/08/2009 00:00:00,7.28233,7.33588,7.17524,7.17524,137800
HCM,27/08/2009 00:00:00,7.17524,7.17524,7.06815,7.12169,222860
HCM,28/08/2009 00:00:00,7.22879,7.22879,7.12169,7.17524,213540
HCM,31/08/2009 00:00:00,7.38943,7.49652,7.33588,7.49652,588590
HCM,01/09/2009 00:00:00,7.87135,7.87135,7.49652,7.87135,553420
HCM,03/09/2009 00:00:00,7.92489,8.24617,7.87135,8.03199,761530
