Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
BED,30.2,30.2,0.0,0.0,0.0,0.0,88.0,70.0,40.9,29.5,2312.0,13.1,91.0,3.0,13.4,0.39,16.0,2050.0,1.3864406779661016,34090.90909090909
BFC,33.0,33.6,33.5,33.0,33.6,28790.0,171039.0,37254.0,41.2,30.1,4859.0,6.8,1887.0,57.17,21.4,0.12,29.0,4843.0,1.3687707641196014,334.25125263828716
BGW,10.0,10.0,0.0,0.0,0.0,0.0,111.0,0.0,10.1,10.0,231.0,43.3,181.0,18.15,10.2,0.0,3.0,0.0,1.01,163513.51351351352
BHA,16.0,16.0,16.0,16.0,16.0,5000.0,1844.0,3230.0,19.0,10.0,1010.0,15.8,1040.0,65.0,9.5,0.0,10.0,5.0,1.9,35249.45770065076
BHC,3.3,3.3,0.0,0.0,0.0,0.0,3112.0,2210.0,3.6,2.1,0.0,0.0,15.0,4.5,-14.8,0.76,57.0,0.0,1.7142857142857142,1446.0154241645243
BHN,115.5,116.5,118.9,115.0,118.9,1680.0,15941.0,4884.0,167.6,74.6,3242.0,35.6,26773.0,231.8,28.9,1.34,11.0,2567.0,2.246648793565684,14541.120381406437
BHP,10.7,10.7,0.0,0.0,0.0,0.0,598.0,151.0,12.4,9.2,1416.0,7.6,98.0,9.18,17.1,0.0,2.0,0.0,1.347826086956522,15351.170568561873
BHS,21.7,21.7,0.0,0.0,0.0,0.0,2396996.0,0.0,25.9,13.1,1014.0,21.4,6464.0,297.87,12.6,0.8,7.0,832.0,1.9770992366412212,124.26804216611126
BHT,4.4,4.4,0.0,0.0,0.0,0.0,221.0,0.0,5.3,2.6,-2547.0,-1.7,20.0,4.6,1.5,0.34,-451.0,-2549.0,2.0384615384615383,20814.47963800905
BHV,5.6,5.6,0.0,0.0,0.0,0.0,157.0,310.0,11.0,3.7,0.0,0.0,6.0,1.0,0.0,0.97,-2.0,0.0,2.972972972972973,6369.426751592357
BIC,33.3,31.2,30.95,29.35,33.3,12900.0,15085.0,24287.0,42.5,30.1,1175.0,28.3,3905.0,117.28,17.7,-0.13,7.0,1082.0,1.4119601328903655,7774.610540271793
BID,40.2,41.9,42.7,40.2,42.7,1196420.0,2342527.0,2361105.0,45.5,15.8,2019.0,19.9,137432.0,3418.72,13.5,1.67,15.0,1802.0,2.8797468354430378,1459.4154090859997
BII,0.9,0.9,0.0,0.0,0.0,0.0,95020.0,47838.0,4.3,0.9,27.0,33.3,52.0,57.68,10.7,0.56,-2.0,157.0,4.777777777777778,607.0300989265418
