Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
000001.SS,3380.68,3363.9,3380.23,3358.0,3393.92,2979030224.0,39137381.0,349874253.0,3451.1,2660.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2973084730471394,0.0,BM
A32,27.0,27.0,0.0,0.0,0.0,0.0,558.0,180.0,51.8,21.0,0.0,0.0,184000000000.0,6800000.0,0.0,0.0,21.0,0.0,2.4666666666666663,12186.379928315411,BM
AAA,12.25,12.1,12.05,11.95,12.3,4035500.0,2318191.0,3295098.0,17.0,9.4,1600.0,7.6,2097000000000.0,171200000.0,18.9,1.03,9.0,2719.0,1.8085106382978722,73.85068788551072,BM
AAM,11.9,11.3,11.95,11.9,11.95,1100.0,2115.0,1546.0,12.5,10.1,100.0,82.6,147000000000.0,10450000.0,19.7,0.33,1.0,938.0,1.2376237623762376,4940.898345153664,BM
AAS,17.6,20.6,18.0,17.6,20.6,385100.0,352883.0,505998.0,34.2,19.3,0.0,0.0,546000000000.0,31000000.0,0.0,0.0,0.0,0.0,1.7720207253886011,87.84781358127198,BM
AAV,5.9,6.0,6.0,5.8,6.1,293600.0,324493.0,435219.0,11.0,4.3,700.0,7.9,188000000000.0,31870000.0,12.0,1.05,7.0,1380.0,2.558139534883721,98.21475347696253,BM
ABC,13.4,13.4,13.4,13.2,13.5,23800.0,17217.0,64042.0,14.1,7.2,2000.0,6.7,273000000000.0,20390000.0,28.9,0.0,8.0,1608.0,1.9583333333333333,1184.2945925538713,BM
ABI,31.3,31.0,31.0,30.3,35.0,27700.0,41263.0,16837.0,33.9,22.2,6700.0,4.7,1189000000000.0,38000000.0,28.1,0.0,24.0,5669.0,1.527027027027027,920.9218912827473,BM
ABR,20.0,20.0,0.0,0.0,0.0,0.0,744.0,443.0,41.6,11.7,800.0,24.7,400000000000.0,20000000.0,11.4,0.0,7.0,0.0,3.555555555555556,26881.72043010753,BM
ABS,11.95,11.4,11.6,11.4,11.95,507870.0,157500.0,142452.0,34.0,10.9,900.0,13.5,344000000000.0,28800000.0,13.8,0.73,6.0,539.0,3.1192660550458715,182.85714285714286,BM
ABT,32.5,32.5,0.0,0.0,0.0,0.0,778.0,510.0,36.7,30.0,2800.0,11.5,458000000000.0,11560000.0,35.4,0.1,8.0,4731.0,1.2233333333333334,14858.611825192802,BM
ACB,21.2,20.8,20.8,20.6,21.2,7389300.0,4069051.0,7631016.0,20.8,13.7,2900.0,7.3,35250000000000.0,2107710000.0,19.0,1.27,20.0,3438.0,1.518248175182482,517.98564333551,BM
ACC,17.75,17.4,17.4,17.2,17.75,7510.0,11732.0,18714.0,22.0,15.0,5400.0,3.3,178000000000.0,10000000.0,0.0,0.42,21.0,0.0,1.4666666666666666,852.3695874531196,BM
ACE,30.4,29.7,29.7,29.7,30.4,3300.0,908.0,1933.0,34.9,19.8,1800.0,16.8,93000000000.0,3050000.0,0.0,0.0,22.0,0.0,1.7626262626262625,3359.0308370044054,BM
ACL,15.2,15.0,14.8,14.8,15.4,61250.0,86959.0,181231.0,17.3,7.9,700.0,20.8,347000000000.0,50160000.0,29.4,1.12,5.0,13098.0,2.189873417721519,576.8235605285249,BM
ACM,0.7,0.7,0.7,0.7,0.8,248200.0,637899.0,635441.0,1.0,0.3,-0.0,-36.8,36000000000.0,51000000.0,8.3,0.41,0.0,-114.0,3.3333333333333335,79.94996073046046,BM
ACS,13.3,13.3,0.0,0.0,0.0,0.0,164.0,10.0,14.5,4.9,0.0,0.0,53000000000.0,4000000.0,0.0,0.0,12.0,0.0,2.9591836734693877,24390.243902439026,BM
ACV,55.1,54.9,54.2,54.1,55.2,141800.0,283858.0,128233.0,81.7,42.2,2700.0,20.6,119962000000000.0,2177170000.0,17.0,0.0,16.0,3136.0,1.9360189573459714,7669.926512552051,BM
ADC,14.5,13.2,14.5,14.5,14.5,2000.0,4623.0,26443.0,15.5,10.2,3400.0,4.3,44000000000.0,3060000.0,17.7,0.15,19.0,3542.0,1.519607843137255,661.9078520441271,BM
ADG,49.7,49.7,49.8,49.3,49.8,22600.0,16390.0,23474.0,80.5,47.0,0.0,0.0,412000000000.0,11740000.0,0.0,0.0,33.0,0.0,1.7127659574468086,716.2904209884076,BM
ADP,17.8,17.8,0.0,0.0,0.0,0.0,633.0,990.0,20.0,13.0,3500.0,5.1,273000000000.0,15360000.0,16.5,0.0,21.0,2271.0,1.5384615384615385,24265.402843601896,BM
ADS,9.0,8.4,8.99,8.6,9.01,16080.0,20372.0,25352.0,12.4,9.0,-100.0,-72.0,230000000000.0,25520000.0,15.4,0.2,0.0,736.0,1.3777777777777778,1252.6997840172785,BM
AFX,10.1,10.7,11.2,10.0,11.2,291700.0,118113.0,372804.0,11.9,2.8,200.0,66.4,354000000000.0,35000000.0,10.6,0.0,1.0,344.0,4.25,296.32639929558985,BM
AG1,7.2,7.3,6.3,6.3,7.2,7200.0,332.0,890.0,10.8,3.6,400.0,17.1,35000000000.0,4860000.0,11.7,0.0,13.0,0.0,3.0,14638.554216867471,BM
AGF,2.8,2.5,2.8,2.8,2.8,17400.0,2097.0,6651.0,5.3,2.2,-4700.0,-0.6,79000000000.0,28110000.0,5.9,0.04,-81.0,-4212.0,2.4090909090909087,13404.86409155937,BM
AGG,28.3,28.05,28.0,28.0,28.3,595540.0,299159.0,491649.0,30.4,26.0,6000.0,4.7,2122000000000.0,75000000.0,25.4,0.29,24.0,982.0,1.169230769230769,250.70280352588424,BM
AGM,12.0,12.0,12.0,11.9,12.1,23210.0,43565.0,29153.0,15.0,8.2,1700.0,7.1,218000000000.0,18200000.0,23.4,0.78,7.0,2056.0,1.829268292682927,417.7665557213359,BM
AGP,18.0,18.5,18.0,18.0,18.0,500.0,851.0,720.0,29.0,15.0,2300.0,8.0,173000000000.0,12840000.0,16.3,0.0,14.0,2414.0,1.9333333333333333,15088.13160987074,BM
AGR,3.65,3.6,3.64,3.58,3.69,313810.0,332177.0,335696.0,5.2,2.2,400.0,9.9,774000000000.0,211200000.0,9.4,1.03,4.0,376.0,2.3636363636363633,635.8056096599101,BM
AGX,26.2,26.2,26.2,26.2,26.2,1300.0,136.0,450.0,28.4,12.6,0.0,0.0,283000000000.0,10800000.0,0.0,0.0,17.0,0.0,2.253968253968254,79411.76470588236,BM
ALT,10.8,10.8,0.0,0.0,0.0,0.0,977.0,561.0,15.8,10.0,-400.0,-30.3,67000000000.0,5740000.0,36.2,-0.34,-1.0,1316.0,1.58,5875.127942681679,BM
ALV,2.6,2.4,2.6,2.6,2.6,100.0,1317.0,10.0,3.0,1.6,400.0,6.1,15000000000.0,5660000.0,20.2,0.48,5.0,788.0,1.875,4297.646165527714,BM
AMC,17.3,17.3,0.0,0.0,0.0,0.0,334.0,40.0,18.8,15.8,2700.0,6.4,49000000000.0,2850000.0,15.9,0.19,17.0,3435.0,1.1898734177215189,8532.934131736527,BM
AMD,2.62,2.54,2.55,2.53,2.64,2342250.0,3983472.0,1637304.0,5.2,1.4,200.0,16.9,428000000000.0,163500000.0,11.9,-0.27,1.0,249.0,3.714285714285715,41.04459627179506,BM
AME,7.5,7.5,7.6,7.5,7.6,1200.0,589.0,490.0,7.9,6.0,800.0,9.6,189000000000.0,25200000.0,12.1,0.16,6.0,778.0,1.3166666666666667,42784.38030560271,BM
AMS,7.4,7.3,7.4,7.4,7.4,400.0,2604.0,884.0,8.8,5.7,900.0,7.8,246000000000.0,33299999.999999996,12.4,0.0,8.0,816.0,1.5438596491228072,12788.018433179723,BM
AMV,16.2,16.0,16.0,16.0,16.2,347800.0,538979.0,441607.0,25.1,10.8,6000.0,2.7,615000000000.0,37960000.0,20.9,1.29,29.0,6434.0,2.324074074074074,70.4294601459426,BM
ANT,8.0,8.0,0.0,0.0,0.0,0.0,943.0,1160.0,11.8,5.8,0.0,0.0,48000000000.0,6000000.0,0.0,0.0,11.0,0.0,2.03448275862069,6362.672322375398,BM
ANV,16.4,16.4,16.4,16.2,16.5,130140.0,242907.0,102165.0,25.5,11.8,3400.0,4.9,2092000000000.0,127140000.0,18.4,1.01,18.0,6012.0,2.1610169491525424,523.4101940248737,BM
APC,18.85,18.85,18.85,18.6,18.95,13400.0,33932.0,13637.0,24.2,13.0,3000.0,6.3,379000000000.0,20110000.0,30.8,0.74,10.0,3075.0,1.8615384615384616,592.6559000353648,BM
