Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
AAA,19.0,19.0,0.0,0.0,0.0,0.0,1186493.0,703068.0,26.0,18.1,1300.0,14.2,1588000000000.0,167200000.0,27.4,0.53,16.0,2397.0,1.43646408839779,140.91949973577593
AAM,10.4,10.4,0.0,0.0,0.0,0.0,2508.0,1640.0,11.0,8.9,100.0,101.0,131000000000.0,10440000.0,23.1,-0.13,0.0,230.0,1.2359550561797752,4162.67942583732
ABC,9.0,9.0,0.0,0.0,0.0,0.0,21375.0,41177.0,31.1,9.0,15500.0,0.6,184000000000.0,20390000.0,26.7,0.0,59.0,4077.0,3.4555555555555557,953.9181286549708
ABI,24.1,24.1,0.0,0.0,0.0,0.0,8989.0,2146.0,39.6,21.0,3400.0,7.1,916000000000.0,38000000.0,18.3,0.0,18.0,2934.0,1.8857142857142857,4227.389031037935
ABT,35.95,35.95,0.0,0.0,0.0,0.0,1871.0,227.0,43.5,25.1,2400.0,15.2,507000000000.0,11560000.0,34.9,0.55,7.0,4124.0,1.7330677290836651,6178.514163548904
AC4,11.8,11.8,0.0,0.0,0.0,0.0,592.0,10.0,35.6,9.8,0.0,0.0,35000000000.0,2940000.0,0.0,0.0,23.0,0.0,3.63265306122449,4966.216216216216
ACB,42.4,42.4,0.0,0.0,0.0,0.0,4527682.0,3945628.0,51.1,21.3,1900.0,22.0,43559000000000.0,1099350000.0,16.0,1.55,13.0,1326.0,2.39906103286385,242.80636316773126
ACC,19.8,19.8,0.0,0.0,0.0,0.0,1240.0,292.0,27.0,19.5,2400.0,8.3,198000000000.0,10000000.0,0.0,-0.16,12.0,0.0,1.3846153846153846,8064.516129032258
ACE,24.1,24.1,0.0,0.0,0.0,0.0,2501.0,2653.0,30.1,24.0,1800.0,13.3,74000000000.0,3050000.0,0.0,0.0,21.0,0.0,1.2541666666666667,1219.5121951219512
ACL,9.49,9.49,0.0,0.0,0.0,0.0,13130.0,12390.0,9.8,7.6,1000.0,9.7,216000000000.0,22800000.0,16.4,-0.07,6.0,1025.0,1.2894736842105265,1736.4813404417364
ACM,0.8,0.8,0.0,0.0,0.0,0.0,329680.0,248155.0,2.5,0.8,-500.0,-1.5,41000000000.0,51000000.0,10.0,1.3,-5.0,158.0,3.125,154.6954622664402
ACS,14.1,14.1,0.0,0.0,0.0,0.0,83.0,0.0,20.3,7.4,0.0,0.0,56000000000.0,4000000.0,0.0,0.0,13.0,0.0,2.7432432432432434,48192.77108433735
ACV,89.5,89.5,0.0,0.0,0.0,0.0,158154.0,61470.0,119.0,47.4,1900.0,46.6,194857000000000.0,2177170000.0,12.6,0.0,15.0,2399.0,2.5105485232067513,13766.139332549288
ADC,18.5,18.5,0.0,0.0,0.0,0.0,213.0,507.0,18.5,12.4,2900.0,6.3,57000000000.0,3060000.0,15.9,0.86,19.0,2302.0,1.4919354838709677,14366.197183098593
ADP,18.3,18.3,0.0,0.0,0.0,0.0,2569.0,3192.0,37.8,17.0,3100.0,5.9,281000000000.0,15360000.0,14.2,0.0,22.0,4006.0,2.2235294117647055,5978.980147917478
ADS,16.2,16.2,0.0,0.0,0.0,0.0,21276.0,11874.0,19.8,15.7,2500.0,6.5,413000000000.0,25520000.0,25.8,0.01,15.0,2150.0,1.2611464968152868,1199.4735852603872
AFC,10.0,10.0,0.0,0.0,0.0,0.0,35781.0,0.0,20.0,6.5,0.0,3333.3,107000000000.0,10690000.0,9.8,0.0,-2.0,0.0,3.076923076923077,298.76191274698857
AFX,4.3,4.3,0.0,0.0,0.0,0.0,2090.0,840.0,5.9,3.3,700.0,6.4,151000000000.0,35000000.0,10.6,0.0,6.0,229.0,1.787878787878788,16746.41148325359
AG1,15.0,15.0,0.0,0.0,0.0,0.0,289.0,0.0,15.0,11.9,400.0,35.5,73000000000.0,4860000.0,10.2,0.0,17.0,422.0,1.2605042016806722,16816.60899653979
AGF,6.17,6.17,0.0,0.0,0.0,0.0,4718.0,1396.0,10.5,5.2,-10100.0,-0.6,173000000000.0,28110000.0,18.0,0.31,-56.0,162.0,2.019230769230769,5958.03306485799
AGM,8.9,8.9,0.0,0.0,0.0,0.0,2672.0,773.0,10.0,8.0,600.0,14.4,162000000000.0,18200000.0,19.8,0.13,3.0,322.0,1.25,6811.377245508982
AGP,25.3,25.3,0.0,0.0,0.0,0.0,142.0,60.0,25.5,16.5,2100.0,12.3,187000000000.0,9630000.0,19.3,0.0,19.0,0.0,1.5454545454545454,67816.90140845072
AGR,3.9,3.9,0.0,0.0,0.0,0.0,464931.0,130693.0,6.7,3.4,300.0,13.2,827000000000.0,211200000.0,8.4,0.91,4.0,-1965.0,1.9705882352941178,454.260954851365
AGX,30.0,30.0,0.0,0.0,0.0,0.0,171.0,10.0,41.0,19.1,0.0,0.0,324000000000.0,10800000.0,0.0,0.0,18.0,0.0,2.1465968586387434,63157.89473684211
ALT,13.7,13.7,0.0,0.0,0.0,0.0,792.0,90.0,16.2,11.9,1200.0,11.5,85000000000.0,5740000.0,36.3,-0.02,4.0,1035.0,1.3613445378151259,7247.474747474748
ALV,4.8,4.8,0.0,0.0,0.0,0.0,107257.0,86445.0,18.4,4.5,3200.0,1.5,15000000000.0,3160000.0,17.2,0.94,23.0,897.0,4.088888888888889,29.461946539619795
AMC,25.5,25.5,0.0,0.0,0.0,0.0,1047.0,2800.0,30.0,20.0,4200.0,6.0,73000000000.0,2850000.0,17.7,0.35,24.0,4436.0,1.5,2722.0630372492838
AMD,3.9,3.9,0.0,0.0,0.0,0.0,1947616.0,771092.0,23.5,3.5,300.0,14.2,638000000000.0,163500000.0,12.1,-0.01,5.0,665.0,6.714285714285714,83.94878661912821
AME,12.4,12.4,0.0,0.0,0.0,0.0,2298.0,0.0,16.2,4.1,1000.0,12.3,149000000000.0,12000000.0,12.4,0.82,8.0,175.0,3.951219512195122,5221.9321148825065
AMP,16.2,16.2,0.0,0.0,0.0,0.0,504.0,360.0,24.0,12.5,1100.0,15.2,211000000000.0,13000000.0,12.8,0.0,12.0,0.0,1.92,25793.65079365079
AMS,7.5,7.5,0.0,0.0,0.0,0.0,2752.0,230.0,9.5,5.6,800.0,9.4,112000000000.0,15000000.0,12.1,0.0,6.0,1116.0,1.6964285714285716,5450.581395348838
AMV,14.5,14.5,0.0,0.0,0.0,0.0,6246.0,5880.0,18.5,12.6,1400.0,10.2,393000000000.0,27120000.0,13.0,0.46,11.0,30.0,1.4682539682539684,4341.978866474544
ANT,6.8,6.8,0.0,0.0,0.0,0.0,664.0,1415.0,12.9,6.5,0.0,0.0,41000000000.0,6000000.0,0.0,0.0,-40.0,0.0,1.9846153846153847,9036.144578313253
ANV,23.7,23.7,0.0,0.0,0.0,0.0,816989.0,551343.0,26.9,4.3,1100.0,22.6,2964000000000.0,124650000.0,11.1,0.45,10.0,158.0,6.255813953488372,152.5724336557775
APC,29.6,29.6,0.0,0.0,0.0,0.0,103801.0,24475.0,90.8,23.0,5700.0,5.2,356000000000.0,12010000.0,22.7,0.26,24.0,3471.0,3.9478260869565216,115.70216086550226
APF,48.5,48.5,0.0,0.0,0.0,0.0,1619.0,1360.0,59.6,41.0,1900.0,25.2,634000000000.0,13070000.0,0.0,0.0,15.0,0.0,1.4536585365853658,8072.884496602841
APG,5.58,5.58,0.0,0.0,0.0,0.0,358319.0,292291.0,6.0,4.3,600.0,9.2,75000000000.0,13530000.0,10.7,0.27,6.0,8.0,1.3953488372093024,37.759649920880555
API,25.0,25.0,0.0,0.0,0.0,0.0,6132.0,25390.0,38.0,21.1,1600.0,15.9,910000000000.0,36400000.0,11.8,0.26,13.0,-38.0,1.8009478672985781,5936.07305936073
APP,9.8,9.8,0.0,0.0,0.0,0.0,3560.0,0.0,11.5,5.2,400.0,27.5,43000000000.0,4410000.0,11.2,0.14,2.0,1261.0,2.2115384615384617,1238.7640449438202
APS,3.5,3.5,0.0,0.0,0.0,0.0,164047.0,255795.0,5.4,2.7,300.0,12.0,136000000000.0,39000000.0,9.7,0.78,3.0,56.0,2.0,237.73674617640066
ARM,40.7,40.7,0.0,0.0,0.0,0.0,744.0,30.0,60.0,23.0,3200.0,12.8,106000000000.0,2590000.0,14.8,2.23,21.0,2861.0,2.608695652173913,3481.1827956989246
ART,10.4,10.4,0.0,0.0,0.0,0.0,623156.0,840335.0,26.9,5.2,2800.0,3.7,323000000000.0,31050000.0,12.9,0.0,22.0,351.0,5.1730769230769225,49.82700960915084
ASA,2.5,2.5,0.0,0.0,0.0,0.0,123003.0,28643.0,4.0,1.8,0.0,52.1,25000000000.0,10000000.0,10.5,1.46,0.0,146.0,2.2222222222222223,81.29883010983473
ASD,1.6,1.6,0.0,0.0,0.0,0.0,3.0,10.0,1.6,0.5,0.0,0.0,6000000000.0,4000000.0,11.1,0.0,8.0,0.0,3.2,1333333.3333333333
ASM,13.25,13.25,0.0,0.0,0.0,0.0,4477613.0,6274855.0,15.2,9.5,700.0,17.7,3206000000000.0,241930000.0,11.7,0.57,6.0,879.0,1.5999999999999999,54.03102054599181
ASP,7.16,7.16,0.0,0.0,0.0,0.0,36866.0,12740.0,8.4,4.4,1200.0,6.1,267000000000.0,37340000.0,11.4,0.45,10.0,525.0,1.909090909090909,1012.8573753594098
AST,71.0,71.0,0.0,0.0,0.0,0.0,179467.0,115553.0,84.9,57.7,1900.0,36.8,2556000000000.0,36000000.0,13.0,0.0,32.0,0.0,1.4714038128249567,200.59398106615703
ATA,1.0,1.0,0.0,0.0,0.0,0.0,47477.0,11782.0,1.5,0.6,100.0,16.7,12000000000.0,12000000.0,-25.2,-0.93,35.0,423.0,2.5,252.75396507782716
