Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
DAG,8.41,8.25,8.4,8.2,8.41,143620.0,394273.0,271301.0,13.3,7.5,1353.0,6.2,370.0,43.98,13.3,1.07,11.0,1254.0,1.7733333333333334,111.54707524989028
DAH,4.5,4.77,4.77,4.5,4.79,103670.0,279137.0,394969.0,6.4,4.0,765.0,5.9,154.0,34.2,10.9,-0.01,7.0,893.0,1.6,122.52048277369178
DCM,12.6,12.4,12.6,12.5,12.7,465450.0,1556529.0,1639509.0,15.0,9.9,1207.0,10.4,6670.0,529.4,11.6,0.65,10.0,1171.0,1.5151515151515151,340.11573186236814
DCS,1.5,1.6,1.6,1.5,1.6,114400.0,292578.0,322588.0,2.8,1.5,21.0,71.4,90.0,60.31,10.6,0.47,0.0,203.0,1.8666666666666665,206.13306537060203
DGW,22.0,21.9,21.9,21.6,22.0,269480.0,436060.0,337525.0,23.5,13.6,1992.0,11.0,875.0,39.75,17.3,0.62,11.0,1697.0,1.7279411764705883,91.157180204559
DHG,103.0,98.3,98.7,98.4,103.0,189680.0,276236.0,217251.0,126.2,71.1,4914.0,21.0,13467.0,130.74,21.1,0.61,23.0,5431.0,1.7749648382559775,473.29095411170164
DIG,23.75,22.6,23.0,22.6,23.9,2412670.0,4210332.0,3937922.0,24.4,7.6,366.0,64.9,5657.0,238.19,11.7,0.6,3.0,346.0,3.210526315789473,56.57273583175864
DLG,3.45,3.27,3.27,3.27,3.45,487320.0,1781673.0,1869281.0,4.8,2.8,243.0,14.2,983.0,285.06,11.8,1.07,2.0,231.0,1.7142857142857144,159.9956894446961
DPS,1.8,1.7,1.8,1.7,1.8,32400.0,268295.0,158523.0,3.7,1.7,175.0,10.3,55.0,30.48,10.9,1.06,2.0,486.0,2.1764705882352944,113.60629158202723
DRC,26.8,26.8,26.9,26.2,26.9,82530.0,642798.0,421390.0,32.8,19.4,1361.0,19.7,3184.0,118.79,12.6,0.69,11.0,3326.0,1.6907216494845358,184.80144617749283
DRH,16.9,15.8,15.7,15.6,16.9,79470.0,268534.0,281494.0,32.9,15.8,1462.0,11.6,828.0,48.71,14.2,-0.25,10.0,1303.0,2.0822784810126582,181.39230041633462
DRI,11.3,11.2,11.2,11.2,11.4,61800.0,215676.0,278346.0,14.3,7.7,1934.0,5.8,827.0,73.2,12.3,0.0,16.0,300.0,1.8571428571428568,339.3979858676905
DST,2.8,3.1,2.9,2.8,3.0,1239600.0,1430716.0,2610347.0,42.5,2.8,35.0,80.0,90.0,32.3,10.1,0.17,0.0,21.0,15.178571428571427,22.576108745551178
DVN,22.1,20.8,22.0,21.4,22.2,482300.0,1101085.0,1114305.0,28.6,14.5,719.0,30.7,5238.0,237.0,10.4,0.0,8.0,0.0,1.9724137931034484,215.2422383376397
DXG,30.6,30.0,30.9,30.4,31.1,2275020.0,4120182.0,3221042.0,30.6,12.3,2477.0,12.4,9278.0,303.13,15.4,1.15,23.0,1772.0,2.4878048780487805,73.57199269352664
E1VFVN30,17.33,17.0,17.1,17.1,17.33,178320.0,478643.0,276546.0,18.5,10.7,273.0,63.5,378.0,21.8,0.0,0.96,0.0,0.0,1.7289719626168225,45.5454273853373
EIB,16.0,15.0,15.0,14.9,16.0,575930.0,698230.0,743864.0,16.2,9.8,425.0,37.6,19768.0,1235.52,11.2,0.81,4.0,-246.0,1.6530612244897958,1769.5028858685532
EVE,17.2,17.0,17.6,17.0,17.6,31390.0,298942.0,210256.0,22.3,15.5,1239.0,13.9,722.0,41.5,22.1,0.33,6.0,2020.0,1.4387096774193548,138.82291548193294
FCM,5.58,5.6,5.6,5.52,5.6,86690.0,265171.0,153164.0,8.8,4.6,850.0,6.6,229.0,41.0,13.9,0.54,5.0,973.0,1.9130434782608696,154.61720927250718
FCN,21.05,20.7,21.0,21.0,21.3,228720.0,882680.0,683274.0,24.3,15.3,1943.0,10.8,1144.0,87.35,25.7,1.13,13.0,2761.0,1.5882352941176472,98.95998549870848
FIT,6.77,6.85,6.89,6.77,6.96,1287520.0,2121139.0,2115322.0,13.3,4.0,416.0,16.3,1725.0,254.73,15.7,0.61,3.0,440.0,3.325,120.09113971314468
FLC,5.8,5.61,5.79,5.75,5.84,4493740.0,14827168.0,7437624.0,8.2,5.3,641.0,9.0,3960.0,730.49,13.5,0.55,5.0,1535.0,1.5471698113207546,49.26699420954832
FMC,26.0,26.0,26.15,26.0,26.3,137540.0,347454.0,374890.0,27.5,13.5,2881.0,9.0,1014.0,39.0,14.7,0.5,20.0,2635.0,2.0370370370370368,112.24507416809129
FPT,59.0,57.1,58.2,57.8,59.3,1448350.0,2291121.0,2515064.0,64.0,37.6,5513.0,10.7,31327.0,530.94,24.9,0.92,27.0,3749.0,1.702127659574468,231.73808803638042
GAS,108.0,103.5,105.3,105.3,109.0,541220.0,808476.0,1059010.0,124.6,50.1,5004.0,21.6,206707.0,1913.95,22.6,1.13,23.0,3663.0,2.4870259481037924,2367.355369856372
GEX,31.0,30.5,30.6,30.5,31.5,343770.0,1232121.0,1258368.0,34.5,18.6,2905.0,10.7,8271.0,266.8,23.6,1.09,21.0,1720.0,1.8548387096774197,216.53717451451604
