Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
ASM,9.8,9.6,9.7,9.65,9.95,618280.0,4295502.0,3019040.0,15.0,9.5,748.0,12.8,2323.0,241.93,11.7,0.74,5.0,879.0,1.5789473684210527,56.321705821578014
BFC,31.1,30.9,30.8,30.8,31.3,43860.0,170603.0,255744.0,41.2,30.1,4859.0,6.4,1766.0,57.17,21.4,-0.02,29.0,4843.0,1.3687707641196014,335.10547880166234
BID,32.75,32.3,33.0,32.5,33.25,696200.0,2251674.0,2510932.0,36.0,15.6,1685.0,19.2,110425.0,3418.72,12.8,1.59,13.0,1884.0,2.307692307692308,1518.3014947989805
BMI,30.3,31.75,31.75,30.3,31.8,8100.0,70385.0,119222.0,36.0,24.8,2569.0,12.4,2900.0,91.35,24.8,0.11,10.0,2235.0,1.4516129032258065,1297.8617603182495
BMP,82.8,81.0,82.0,82.0,83.5,192500.0,555759.0,462040.0,111.1,68.8,5758.0,14.1,6631.0,81.86,30.0,1.07,19.0,7607.0,1.614825581395349,147.29406091489295
BVH,71.9,71.6,72.0,71.0,72.4,108830.0,557421.0,525185.0,85.7,49.5,2233.0,32.1,48722.0,680.47,19.9,1.01,12.0,1930.0,1.7313131313131314,1220.7469758046432
CII,34.2,34.1,34.8,34.2,34.8,441910.0,1494865.0,1734286.0,40.4,30.4,5396.0,6.3,9541.0,279.81,27.3,0.51,21.0,3058.0,1.3289473684210527,187.18078221110267
CTD,186.0,181.0,184.0,184.0,190.8,52920.0,159349.0,377427.0,239.0,175.0,21468.0,8.4,13946.0,76.98,94.9,0.5,23.0,18472.0,1.3657142857142857,483.0905747761203
CAV,52.1,52.1,53.3,52.1,53.3,57810.0,80241.0,130656.0,59.1,49.0,5648.0,9.2,3001.0,57.6,22.2,0.55,25.0,4196.0,1.2061224489795919,717.8375144876061
CMG,27.1,26.2,26.3,26.3,27.9,13340.0,302765.0,272857.0,49.0,13.2,2570.0,10.2,1764.0,67.24,18.9,0.15,17.0,1698.0,3.7121212121212124,222.08643667530922
CSM,14.5,14.4,14.3,14.3,14.55,67180.0,390742.0,372144.0,20.0,12.3,530.0,27.2,1492.0,103.63,11.9,0.54,4.0,2520.0,1.6260162601626016,265.21336329342637
