Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
ATA,0.3,0.3,0.0,0.0,0.0,0.0,11433.0,24150.0,0.9,0.3,100.0,5.0,4000000000.0,12000000.0,-25.2,-0.93,35.0,423.0,3.0,1049.5932826029912,BM
ATB,0.8,0.8,0.0,0.0,0.0,0.0,65641.0,127140.0,1.3,0.6,0.0,26.7,11000000000.0,13880000.0,11.0,0.0,0.0,312.0,2.166666666666667,211.45320759890924,BM
ATG,1.32,1.32,0.0,0.0,0.0,0.0,182116.0,164359.0,3.5,1.0,-400.0,-3.0,20000000000.0,15220000.0,10.0,1.47,-4.0,227.0,3.5,83.57310725032397,BM
ATS,28.4,28.4,0.0,0.0,0.0,0.0,1811.0,17950.0,48.6,25.5,600.0,46.8,99000000000.0,3500000.0,12.5,0.47,5.0,259.0,1.9058823529411766,1932.633903920486,BM
AUDUSD,0.7,0.0,0.7,0.7,0.7,0.0,90827.0,0.0,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.142857142857143,0.0,BM
AVC,26.9,26.9,0.0,0.0,0.0,0.0,963.0,310.0,34.5,25.2,2200.0,12.3,2019000000000.0,75050000.0,17.6,0.0,12.0,4728.0,1.369047619047619,77933.54101765316,BM
AVF,0.3,0.3,0.0,0.0,0.0,0.0,22194.0,21520.0,0.6,0.3,-2100.0,-0.1,13000000000.0,43340000.0,-40.1,2.6,5.0,-2080.0,2.0,1952.7800306389117,BM
B82,1.1,1.1,0.0,0.0,0.0,0.0,285.0,13.0,2.0,0.6,100.0,8.7,6000000000.0,5000000.0,10.1,0.3,1.0,71.0,3.3333333333333335,17543.859649122805,BM
BAB,20.5,20.5,0.0,0.0,0.0,0.0,5910.0,6130.0,22.5,20.3,1200.0,16.6,11275000000000.0,550000000.0,12.9,0.0,10.0,1181.0,1.108374384236453,93062.60575296108,BM
BAL,7.5,7.5,0.0,0.0,0.0,0.0,133.0,0.0,33.7,6.6,1200.0,6.0,15000000000.0,2000000.0,17.5,0.0,12.0,1541.0,5.106060606060606,15037.593984962405,BM
BAX,39.0,39.0,0.0,0.0,0.0,0.0,528.0,20.0,46.8,19.0,2800.0,13.9,320000000000.0,8199999.999999999,16.1,-0.37,18.0,3137.0,2.4631578947368418,15530.30303030303,BM
BBC,65.5,65.5,0.0,0.0,0.0,0.0,308.0,238.0,84.3,62.0,7200.0,9.1,1010000000000.0,15370000.0,59.7,0.47,12.0,6300.0,1.3596774193548387,49902.5974025974,BM
BBM,12.7,12.7,0.0,0.0,0.0,0.0,2.0,0.0,14.9,10.2,1400.0,8.8,25000000000.0,2000000.0,13.8,0.0,10.0,0.0,1.4607843137254903,1000000.0,BM
