Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
A32,31.2,31.2,31.2,31.2,31.2,0.0,118.0,230.0,36.1,27.0,5090.0,6.1,212200000000.0,6800000.0,35.1,0.68,14.5,0.0,1.337037037037037,57627.1186440678,BM
AAA,7.59,7.58,7.58,7.47,7.63,2352400.0,2558060.0,1580320.0,19.4,5.7,820.0,9.3,2901500000000.0,382270000.0,16.7,1.72,4.9,1495.0,3.403508771929824,149.4374643284364,BM
AAM,11.45,11.4,11.55,11.45,11.55,2000.0,7180.0,6290.0,17.9,9.3,2090.0,5.5,119600000000.0,10450000.0,24.3,1.13,8.6,795.0,1.9247311827956985,1455.431754874652,BM
AAS,11.4,11.1,12.7,11.1,12.7,84100.0,106280.0,63981.0,36.0,6.9,16980.0,0.7,353400000000.0,31000000.0,48.5,2.29,35.0,770.0,5.217391304347826,291.6823485133609,BM
AAT,5.45,5.18,5.24,5.15,5.45,1122200.0,1186552.0,531430.0,14.7,4.8,1410.0,3.9,347700000000.0,63800000.0,11.6,1.33,12.2,110.0,3.0625,53.76924062325123,BM
AAV,4.8,4.7,4.8,4.6,4.8,178400.0,196906.0,162280.0,25.6,2.8,210.0,22.9,175900000000.0,36660000.0,22.3,2.3,1.0,874.0,9.142857142857144,186.18020781489642,BM
ABB,8.7,8.6,8.6,8.6,8.7,896000.0,1162830.0,779033.0,23.2,6.1,2940.0,3.0,4970400000000.0,571310000.0,22.0,1.47,13.4,1792.0,3.8032786885245904,491.30999372221214,BM
ABC,6.3,6.3,6.3,6.3,6.3,0.0,1632.0,2713.0,12.4,4.5,-27200.0,-0.2,128500000000.0,20390000.0,-9.8,1.04,277.6,1506.0,2.7555555555555555,12493.872549019608,BM
ABI,32.5,32.6,34.0,32.3,34.0,1000.0,9143.0,20185.0,51.6,25.8,3540.0,9.2,1402600000000.0,43160000.0,33.1,1.22,10.7,6384.0,2.0,4720.551241386853,BM
ABR,8.26,8.26,8.26,8.26,8.26,0.0,279.0,100.0,22.6,7.7,1290.0,6.4,165200000000.0,20000000.0,13.8,1.08,9.4,0.0,2.9350649350649354,71684.58781362006,BM
