Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
AAA,19.2,19.6,19.7,19.1,19.7,167060.0,1131013.0,500999.0,26.0,18.1,1500.0,12.8,1605000000000.0,167200000.0,18.1,0.54,20.0,2219.0,1.43646408839779,147.83207620071565,HOSE
AAM,10.45,10.5,10.2,10.2,10.45,1590.0,2497.0,1732.0,11.0,8.9,300.0,32.9,132000000000.0,10440000.0,22.9,-0.11,1.0,228.0,1.2359550561797752,4181.017220664798,HOSE
ABC,9.2,9.5,10.0,9.1,10.0,12100.0,22306.0,45775.0,31.1,9.0,15600.0,0.6,188000000000.0,20390000.0,26.9,0.0,58.0,3578.0,3.4555555555555557,914.1038285663051,UPCOM
ABI,26.6,26.6,26.8,25.3,26.8,1000.0,8827.0,2122.0,39.6,21.0,3300.0,8.1,1011000000000.0,38000000.0,19.2,0.0,17.0,3571.0,1.8857142857142857,4304.973377138326,UPCOM
ABT,36.9,37.0,34.45,34.45,36.9,2290.0,1676.0,402.0,43.5,25.1,2300.0,16.3,521000000000.0,11560000.0,34.7,0.55,6.0,4077.0,1.7330677290836651,6897.374701670645,HOSE
AC4,11.8,11.8,0.0,0.0,0.0,0.0,592.0,10.0,35.6,9.8,0.0,0.0,35000000000.0,2940000.0,0.0,0.0,23.0,0.0,3.63265306122449,4966.216216216216,UPCOM
ACB,42.8,42.9,42.9,41.1,43.4,2707500.0,4406045.0,3150667.0,51.1,22.3,2500.0,16.9,43969000000000.0,1099350000.0,15.6,1.54,16.0,1358.0,2.291479820627803,249.50948072477695,HNX
ACC,20.1,20.1,0.0,0.0,0.0,0.0,1182.0,899.0,27.0,19.5,3000.0,6.6,201000000000.0,10000000.0,0.0,-0.17,14.0,0.0,1.3846153846153846,8460.236886632825,HOSE
ACE,28.1,28.1,0.0,0.0,0.0,0.0,2649.0,2821.0,30.1,24.0,1800.0,15.6,86000000000.0,3050000.0,0.0,0.0,21.0,0.0,1.2541666666666667,1151.377878444696,UPCOM
ACL,9.7,9.6,10.15,9.7,10.15,20.0,12941.0,11098.0,9.8,7.6,1100.0,8.5,221000000000.0,22800000.0,16.7,-0.1,7.0,1088.0,1.2894736842105265,1761.8422069391856,HOSE
