Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
000001.SS,2978.88,2996.79,2992.24,2961.22,2992.24,963283116.0,26528028.0,0.0,3270.8,2464.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3272196072066222,0.0,BM
A32,22.5,23.0,22.5,22.5,22.5,500.0,89.0,0.0,29.7,21.4,0.0,0.0,153000000000.0,6800000.0,0.0,0.0,21.0,0.0,1.3878504672897196,76404.49438202247,BM
AAA,18.35,18.0,18.0,17.9,18.4,2918320.0,3332684.0,1868697.0,19.4,13.8,2200.0,8.4,3142000000000.0,171200000.0,18.2,0.91,13.0,1469.0,1.4057971014492752,51.370006877339705,BM
AAM,11.5,11.45,11.45,11.45,11.7,1690.0,5311.0,6199.0,14.5,7.3,1000.0,12.0,142000000000.0,10450000.0,26.4,0.33,5.0,413.0,1.9863013698630136,1967.6143852381845,BM
AAV,9.0,9.0,9.2,8.9,9.5,93000.0,174327.0,180015.0,28.1,9.4,1300.0,7.0,287000000000.0,31870000.0,14.3,0.98,21.0,1390.0,2.9893617021276597,182.8173490050308,BM
ABC,8.9,9.2,9.0,8.8,9.0,32400.0,16477.0,24689.0,13.3,6.0,1500.0,6.1,181000000000.0,20390000.0,28.0,0.0,5.0,15587.0,2.216666666666667,1237.482551435334,BM
ABI,27.0,28.4,28.4,25.6,32.0,16400.0,3926.0,200.0,28.3,19.7,5200.0,5.2,1026000000000.0,38000000.0,22.3,0.0,23.0,3281.0,1.436548223350254,9679.06265919511,BM
ABR,6.2,6.2,6.2,6.2,6.2,4000.0,2882.0,0.0,10.5,3.0,0.0,0.0,19000000000.0,3000000.0,0.0,0.0,2.0,0.0,3.5,1040.943789035392,BM
ABT,40.0,40.0,0.0,0.0,0.0,0.0,543.0,1917.0,45.3,31.9,6000.0,6.7,564000000000.0,11560000.0,35.3,0.03,17.0,2257.0,1.4200626959247649,21289.134438305708,BM
ACB,28.9,28.6,28.6,28.5,28.9,670300.0,1493734.0,2648981.0,34.5,26.0,4300.0,6.7,37240000000000.0,1247170000.0,17.9,1.6,24.0,2232.0,1.3269230769230769,834.9344662436552,BM
ACC,19.9,19.9,19.9,19.4,19.9,8520.0,1966.0,823.0,22.5,17.1,3600.0,5.5,199000000000.0,10000000.0,0.0,-0.07,16.0,0.0,1.3157894736842104,5086.46998982706,BM
ACE,24.0,24.0,24.0,24.0,24.0,11400.0,1452.0,1290.0,24.8,16.6,1800.0,13.3,73000000000.0,3050000.0,0.0,0.0,19.0,0.0,1.4939759036144578,2100.5509641873277,BM
ACL,38.15,37.95,37.5,37.3,38.45,9710.0,46175.0,91290.0,46.0,8.9,12500.0,3.1,870000000000.0,22800000.0,26.9,0.09,46.0,1147.0,5.168539325842697,493.7736870600975,BM
ACM,0.5,0.6,0.5,0.5,0.6,211100.0,247032.0,81541.0,1.0,0.5,-100.0,-7.7,26000000000.0,51000000.0,8.4,0.99,-1.0,-586.0,2.0,206.45098610706307,BM
ACV,97.0,84.8,84.0,83.7,97.0,625800.0,84448.0,30020.0,91.0,79.0,3300.0,29.2,211186000000000.0,2177170000.0,15.0,0.0,22.0,2024.0,1.1518987341772151,25781.190791966656,BM
ADC,16.5,16.6,16.5,16.5,16.5,400.0,217.0,1.0,18.1,14.4,3400.0,4.8,50000000000.0,3060000.0,17.3,0.36,20.0,3124.0,1.2569444444444444,14101.382488479263,BM
ADP,15.6,14.8,15.6,15.6,15.6,1000.0,234.0,29.0,43.5,13.0,2100.0,7.4,240000000000.0,15360000.0,14.9,0.0,14.0,2554.0,3.3461538461538463,65641.02564102564,BM
ADS,13.25,13.15,13.1,13.05,13.25,10410.0,13345.0,18018.0,14.2,11.4,1600.0,8.5,338000000000.0,25520000.0,17.8,0.2,10.0,2678.0,1.2456140350877192,1912.3267141251406,BM
AFC,10.3,10.3,0.0,0.0,0.0,0.0,7.0,0.0,10.3,8.5,0.0,3433.3,110000000000.0,10690000.0,9.9,0.0,1.0,0.0,1.211764705882353,1527142.857142857,BM
AFX,3.6,3.2,3.6,3.6,3.6,16400.0,2490.0,7860.0,3.6,2.4,300.0,11.7,126000000000.0,35000000.0,10.4,0.0,3.0,472.0,1.5,14056.224899598394,BM
AG1,8.3,8.3,0.0,0.0,0.0,0.0,91.0,0.0,11.0,5.2,400.0,19.7,40000000000.0,4860000.0,10.2,0.0,17.0,422.0,2.1153846153846154,53406.593406593405,BM
AGF,3.34,3.34,0.0,0.0,0.0,0.0,7109.0,379.0,8.4,3.0,-400.0,-8.7,94000000000.0,28110000.0,15.1,0.33,-3.0,-12682.0,2.8000000000000003,3954.1426360950904,BM
AGM,8.6,8.5,9.0,8.6,9.0,80.0,2102.0,40588.0,14.5,8.2,1800.0,4.8,157000000000.0,18200000.0,21.2,-0.22,9.0,621.0,1.7682926829268295,8658.420551855375,BM
AGP,20.1,20.1,0.0,0.0,0.0,0.0,724.0,0.0,32.0,20.0,3100.0,6.4,193000000000.0,9630000.0,18.1,0.0,19.0,3004.0,1.6,13301.104972375691,BM
AGR,3.89,3.88,3.88,3.8,3.89,55580.0,161382.0,69282.0,4.2,3.1,400.0,11.1,825000000000.0,211200000.0,9.1,0.52,4.0,107.0,1.3548387096774195,1308.6961371156635,BM
AGX,26.0,26.0,0.0,0.0,0.0,0.0,189.0,1840.0,30.6,16.4,0.0,0.0,281000000000.0,10800000.0,0.0,0.0,15.0,0.0,1.8658536585365857,57142.857142857145,BM
ALT,13.9,15.4,13.9,13.9,13.9,500.0,126.0,30.0,15.6,9.8,1300.0,10.6,86000000000.0,5740000.0,37.0,0.13,4.0,1264.0,1.5918367346938773,45555.555555555555,BM
ALV,2.3,2.7,2.3,2.3,2.7,132100.0,8827.0,3211.0,4.3,1.9,1900.0,1.2,7000000000.0,3160000.0,20.4,0.48,11.0,2577.0,2.263157894736842,357.9925229409766,BM
AMC,19.5,19.5,0.0,0.0,0.0,0.0,773.0,1420.0,21.4,15.9,3700.0,5.3,56000000000.0,2850000.0,17.2,0.41,21.0,4058.0,1.3459119496855345,3686.934023285899,BM
AMD,1.74,1.76,1.76,1.74,1.77,702400.0,2428067.0,416375.0,4.1,1.7,300.0,5.5,284000000000.0,163500000.0,11.5,0.59,3.0,282.0,2.411764705882353,67.33751580990146,BM
AME,7.3,7.3,0.0,0.0,0.0,0.0,483.0,100.0,16.5,7.2,800.0,9.3,184000000000.0,25200000.0,11.4,-0.55,7.0,462.0,2.2916666666666665,52173.91304347826,BM
AMP,13.8,16.2,13.8,13.8,13.8,100.0,1.0,10.0,25.8,16.2,1500.0,9.5,179000000000.0,13000000.0,13.4,0.0,11.0,262.0,1.5925925925925928,13000000.0,BM
AMS,8.0,8.0,8.0,8.0,8.0,100.0,893.0,4337.0,9.2,5.9,900.0,8.6,240000000000.0,30000000.0,12.3,0.0,8.0,313.0,1.559322033898305,33594.6248600224,BM
AMV,29.4,29.6,29.5,29.0,29.6,39100.0,41090.0,101424.0,39.5,14.5,9100.0,3.2,797000000000.0,27120000.0,22.1,0.92,42.0,1441.0,2.7241379310344827,660.0146020929666,BM
ANT,5.3,5.3,0.0,0.0,0.0,0.0,119.0,230.0,11.2,4.0,0.0,0.0,32000000000.0,6000000.0,0.0,0.0,-40.0,0.0,2.8,50420.16806722689,BM
ANV,27.5,27.5,27.7,27.2,27.7,482350.0,568834.0,719719.0,32.5,14.7,5700.0,4.8,3507000000000.0,127140000.0,16.3,0.76,35.0,1443.0,2.2108843537414966,223.50984645784183,BM
APC,26.7,26.9,26.55,26.4,26.8,14380.0,32836.0,30132.0,44.5,26.3,5800.0,4.6,321000000000.0,12010000.0,29.1,1.02,20.0,5996.0,1.6920152091254752,365.75709587038614,BM
APF,22.2,24.5,23.0,22.2,23.0,1000.0,731.0,1250.0,31.2,23.1,5200.0,4.3,334000000000.0,16540000.0,39.2,0.0,17.0,4458.0,1.3506493506493504,22626.538987688094,BM
APG,9.9,9.8,9.85,9.3,9.9,265330.0,462274.0,433765.0,10.4,4.7,400.0,25.8,337000000000.0,34030000.0,10.4,0.92,4.0,248.0,2.2127659574468086,73.61434993099331,BM
API,24.0,22.6,24.0,24.0,24.0,300.0,1401.0,2895.0,30.0,15.2,1700.0,14.2,874000000000.0,36400000.0,12.9,0.44,13.0,1039.0,1.973684210526316,25981.44182726624,BM
APL,14.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,14.4,14.0,0.0,0.0,17000000000.0,1200000.0,0.0,0.0,12.0,0.0,1.0285714285714287,600000.0,BM
APP,5.4,5.4,0.0,0.0,0.0,0.0,234.0,205.0,10.9,4.5,-200.0,-23.7,25000000000.0,4630000.0,10.3,0.7,-2.0,183.0,2.4222222222222225,19786.32478632479,BM
APS,2.7,2.7,0.0,0.0,0.0,0.0,13373.0,28583.0,3.3,2.6,100.0,47.4,105000000000.0,39000000.0,9.7,0.32,1.0,336.0,1.2692307692307692,2916.323936289539,BM
APT,2.8,2.8,0.0,0.0,0.0,0.0,38.0,0.0,2.8,2.5,0.0,0.0,25000000000.0,8800000.0,0.0,0.0,0.0,0.0,1.1199999999999999,231578.94736842107,BM
ARM,57.2,57.2,0.0,0.0,0.0,0.0,737.0,230.0,73.6,32.3,2400.0,23.5,148000000000.0,2590000.0,16.1,0.64,15.0,3222.0,2.278637770897833,3514.2469470827677,BM
ART,2.4,2.5,2.5,2.4,2.5,248800.0,1464007.0,1480046.0,15.1,2.2,600.0,4.1,233000000000.0,96920000.0,10.9,2.16,5.0,756.0,6.863636363636363,66.2018692533574,BM
ASA,1.0,0.9,1.0,1.0,1.0,116900.0,1076.0,0.0,1.7,0.7,0.0,25.6,10000000000.0,10000000.0,9.3,0.05,0.0,71.0,2.428571428571429,9293.68029739777,BM
ASD,9.9,9.9,0.0,0.0,0.0,0.0,7.0,10.0,9.9,1.6,0.0,0.0,40000000000.0,4000000.0,11.1,0.0,8.0,0.0,6.1875,571428.5714285714,BM
ASM,7.06,7.09,7.09,7.05,7.1,1056530.0,1772838.0,3396684.0,13.8,6.8,3800.0,1.9,1828000000000.0,258870000.0,24.8,1.2,20.0,2675.0,2.0294117647058827,146.02011012850582,BM
ASP,6.3,6.2,6.0,6.0,6.35,150.0,8268.0,6213.0,6.9,5.8,1600.0,3.8,235000000000.0,37340000.0,13.1,0.33,12.0,1181.0,1.1896551724137931,4516.207063376875,BM
AST,64.0,64.0,64.2,63.9,64.5,62300.0,83185.0,124926.0,67.2,47.6,3800.0,16.7,2880000000000.0,45000000.0,16.6,0.26,30.0,3997.0,1.411764705882353,540.9629139868966,BM
ATA,0.3,0.3,0.3,0.2,0.3,17400.0,11038.0,24150.0,0.7,0.2,100.0,5.0,4000000000.0,12000000.0,-25.2,-0.93,35.0,423.0,3.4999999999999996,1087.1534698314913,BM
ATB,0.9,0.9,1.0,0.9,1.0,30200.0,63205.0,127140.0,1.2,0.6,-200.0,-3.7,12000000000.0,13880000.0,10.9,0.0,-2.0,344.0,2.0,219.6028795190254,BM
ATG,1.15,1.16,1.15,1.13,1.16,54700.0,171172.0,164359.0,3.5,1.0,-500.0,-2.4,18000000000.0,15220000.0,9.6,1.94,-5.0,227.0,3.5,88.91641156263874,BM
ATS,26.5,24.2,26.5,26.5,26.5,100.0,436.0,17950.0,47.0,20.6,200.0,166.7,93000000000.0,3500000.0,11.6,0.59,1.0,198.0,2.2815533980582523,8027.522935779817,BM
AUDUSD,0.7,0.0,0.7,0.7,0.7,0.0,83952.0,0.0,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.142857142857143,0.0,BM
AVC,31.4,31.4,0.0,0.0,0.0,0.0,722.0,310.0,33.8,23.1,900.0,33.2,2357000000000.0,75050000.0,16.5,0.0,6.0,4674.0,1.463203463203463,103947.36842105263,BM
AVF,0.3,0.4,0.4,0.3,0.4,1126100.0,31211.0,21520.0,0.6,0.3,-2400.0,-0.1,13000000000.0,43340000.0,-41.6,2.6,6.0,-1988.0,2.0,1388.612989010285,BM
BAB,20.5,20.5,20.5,20.5,20.5,5400.0,5397.0,6130.0,22.0,20.3,1300.0,16.0,11275000000000.0,550000000.0,13.2,0.0,10.0,1281.0,1.083743842364532,101908.46766722253,BM
BAL,7.6,7.6,7.6,7.6,7.6,600.0,239.0,0.0,33.7,5.7,1200.0,6.1,15000000000.0,2000000.0,16.0,0.0,3.0,2509.0,5.912280701754386,8368.200836820082,BM
BAX,60.0,54.9,53.0,52.0,60.3,67700.0,5140.0,20.0,67.0,18.6,7200.0,8.3,492000000000.0,8199999.999999999,20.7,0.05,35.0,3051.0,3.6021505376344085,1595.3307392996107,BM
BBC,67.3,67.3,0.0,0.0,0.0,0.0,291.0,238.0,81.8,62.0,6800.0,9.9,1038000000000.0,15370000.0,60.5,0.33,11.0,6300.0,1.3193548387096774,52817.86941580756,BM
BBM,7.2,7.2,0.0,0.0,0.0,0.0,119.0,0.0,14.0,7.2,300.0,25.4,14000000000.0,2000000.0,12.7,0.0,10.0,1628.0,1.9444444444444444,16806.72268907563,BM
BBS,10.2,10.2,0.0,0.0,0.0,0.0,83.0,1150.0,13.8,6.7,900.0,10.9,61000000000.0,6000000.0,17.6,-0.17,5.0,416.0,2.0597014925373136,72289.15662650602,BM
BBT,19.5,19.5,0.0,0.0,0.0,0.0,18414.0,3840.0,22.0,12.6,0.0,0.0,133000000000.0,6840000.0,3.8,0.63,39.0,0.0,1.746031746031746,371.45650048875854,BM
BCC,8.2,8.3,8.3,8.0,8.3,118400.0,298830.0,8095.0,9.3,6.2,1100.0,7.6,902000000000.0,110010000.0,17.3,0.75,6.0,-189.0,1.5,368.13572934444335,BM
BCE,6.26,6.2,6.2,6.19,6.26,15170.0,41117.0,14753.0,6.5,4.5,1300.0,4.8,188000000000.0,30000000.0,12.2,0.13,11.0,851.0,1.4444444444444444,729.6252158474597,BM
