5,10,70
10,6,70
4,11,71
10,8,80
4,11,71
10,7,75
8,5,57
6,8,64
6,9,69
6,5,49
8,6,62
9,11,91
4,8,56
8,7,67
8,5,57
8,4,52
4,7,51
11,10,94
10,8,80
11,8,84
6,4,44
5,9,65
9,10,86
4,6,46
5,7,55
9,8,76
6,10,74
9,8,76
9,8,76
9,9,81
10,8,80
10,8,80
9,11,91
6,7,59
9,5,61
11,6,74
6,8,64
9,6,66
10,11,95
4,8,56
6,7,59
5,6,50
6,9,69
7,6,58
7,7,63
11,8,84
9,9,81
7,8,68
11,11,99
8,8,72
9,4,56
11,5,69
11,4,64
6,7,59
4,11,71
4,6,46
10,10,90
6,5,49
9,4,56
5,10,70
8,4,52
7,4,48
5,4,40
4,8,56
9,4,56
4,4,36
4,8,56
6,10,74
10,6,70
6,4,44
8,7,67
6,7,59
10,10,90
10,7,75
6,4,44
10,7,75
11,9,89
9,9,81
10,6,70
11,6,74
11,6,74
6,5,49
11,7,79
9,4,56
4,10,66
10,4,60
7,11,83
9,6,66
7,4,48
11,11,99
6,4,44
10,4,60
6,11,79
6,4,44
5,4,40
4,6,46
6,5,49
8,6,62
8,7,67
5,8,60
10,11,95
5,6,50
7,11,83
6,7,59
10,10,90
6,8,64
4,9,61
9,4,56
7,9,73
4,8,56
6,5,49
8,4,52
5,5,45
8,9,77
4,11,71
5,10,70
11,5,69
9,6,66
9,5,61
6,7,59
8,9,77
4,7,51
8,4,52
8,7,67
11,5,69
6,7,59
6,10,74
9,8,76
7,9,73
8,10,82
9,10,86
6,8,64
9,8,76
7,10,78
11,5,69
8,9,77
10,6,70
11,7,79
11,7,79
6,11,79
6,6,54
7,7,63
7,6,58
6,6,54
4,5,41
6,4,44
8,9,77
8,6,62
8,5,57
7,6,58
11,7,79
4,9,61
8,7,67
4,9,61
7,6,58
9,5,61
9,9,81
4,6,46
10,6,70
10,4,60
5,5,45
6,4,44
8,11,87
10,8,80
5,10,70
4,10,66
8,10,82
10,6,70
7,5,53
6,8,64
8,10,82
8,5,57
4,7,51
8,5,57
8,9,77
11,5,69
5,10,70
8,5,57
4,6,46
11,8,84
4,9,61
11,10,94
6,10,74
11,10,94
10,8,80
7,10,78
10,8,80
8,6,62
11,5,69
7,6,58
4,8,56
5,6,50
5,8,60
8,11,87
7,6,58
9,6,66
10,10,90
5,10,70
5,9,65
9,6,66
8,4,52
5,10,70
11,6,74
11,9,89
9,11,91
4,7,51
7,7,63
9,5,61
4,10,66
5,4,40
6,4,44
9,6,66
9,9,81
7,6,58
10,5,65
10,10,90
10,11,95
5,6,50
4,6,46
5,4,40
9,10,86
7,6,58
5,11,75
10,7,75
5,5,45
6,10,74
6,9,69
9,6,66
10,7,75
8,8,72
10,8,80
8,11,87
5,9,65
6,11,79
4,9,61
7,6,58
10,11,95
4,9,61
7,10,78
8,5,57
8,10,82
9,6,66
8,6,62
7,5,53
8,10,82
8,7,67
5,5,45
6,7,59
11,9,89
4,5,41
10,10,90
9,6,66
10,11,95
7,7,63
8,9,77
4,5,41
11,10,94
7,7,63
5,4,40
9,6,66
9,10,86
11,9,89
11,10,94
8,6,62
4,4,36
10,10,90
7,7,63
8,7,67
7,11,83
4,8,56
8,8,72
7,11,83
6,11,79
5,5,45
5,9,65
10,10,90
7,9,73
4,8,56
9,6,66
7,9,73
11,4,64
5,7,55
10,8,80
5,8,60
6,10,74
9,10,86
8,8,72
11,8,84
4,8,56
11,10,94
8,5,57
11,9,89
8,4,52
9,4,56
5,4,40
7,10,78
11,9,89
10,5,65
10,7,75
4,5,41
8,10,82
11,4,64
4,7,51
8,6,62
8,8,72
8,4,52
10,8,80
10,7,75
10,6,70
9,4,56
6,6,54
6,9,69
9,5,61
6,8,64
7,5,53
7,9,73
5,4,40
9,10,86
5,10,70
8,11,87
6,4,44
5,6,50
11,7,79
9,6,66
10,10,90
9,11,91
11,4,64
6,10,74
10,4,60
9,7,71
6,5,49
11,7,79
6,7,59
10,9,85
7,11,83
7,7,63
7,7,63
6,11,79
4,6,46
10,9,85
10,8,80
9,6,66
11,11,99
6,10,74
4,6,46
10,6,70
5,7,55
5,11,75
11,5,69
10,11,95
6,6,54
5,7,55
10,4,60
5,10,70
4,10,66
7,5,53
9,10,86
8,11,87
8,8,72
6,9,69
4,4,36
5,7,55
6,9,69
5,8,60
11,8,84
8,6,62
8,10,82
7,10,78
5,10,70
6,9,69
6,4,44
6,6,54
6,9,69
6,4,44
4,8,56
11,7,79
5,6,50
8,5,57
7,10,78
7,11,83
11,4,64
7,9,73
5,10,70
7,6,58
10,4,60
4,5,41
7,4,48
7,11,83
5,7,55
10,9,85
10,5,65
4,11,71
9,4,56
8,11,87
7,6,58
8,4,52
5,9,65
7,7,63
8,6,62
5,4,40
7,4,48
10,9,85
4,6,46
10,4,60
7,5,53
6,4,44
6,5,49
4,5,41
7,7,63
4,7,51
4,5,41
8,8,72
8,7,67
5,4,40
9,10,86
11,8,84
10,5,65
6,9,69
10,6,70
4,4,36
8,11,87
9,4,56
9,5,61
4,4,36
8,10,82
8,8,72
5,10,70
10,9,85
9,7,71
11,8,84
8,4,52
10,10,90
7,10,78
8,11,87
9,8,76
5,11,75
9,5,61
11,4,64
7,7,63
6,4,44
6,6,54
5,6,50
7,6,58
11,5,69
9,11,91
6,5,49
11,7,79
9,7,71
11,11,99
4,11,71
11,5,69
9,4,56
9,4,56
11,11,99
8,7,67
5,6,50
8,7,67
9,8,76
11,4,64
6,11,79
8,7,67
9,7,71
4,9,61
11,10,94
5,6,50
11,5,69
10,10,90
10,5,65
7,6,58
10,8,80
10,4,60
5,4,40
8,9,77
9,9,81
4,4,36
7,9,73
10,5,65
5,4,40
5,9,65
11,4,64
4,8,56
9,8,76
4,9,61
4,8,56
7,4,48
6,6,54
11,4,64
9,4,56
4,4,36
8,4,52
4,9,61
10,10,90
6,6,54
8,5,57
10,9,85
6,9,69
4,6,46
7,11,83
8,7,67
11,8,84
11,10,94
5,9,65
6,10,74
8,10,82
5,5,45
4,5,41
8,11,87
6,11,79
7,7,63
9,11,91
6,6,54
8,11,87
8,9,77
8,7,67
10,8,80
6,11,79
5,6,50
11,4,64
7,10,78
8,9,77
7,11,83
7,5,53
6,6,54
11,5,69
10,4,60
10,6,70
8,9,77
5,4,40
11,9,89
6,6,54
11,8,84
8,8,72
4,6,46
7,4,48
9,5,61
11,8,84
8,8,72
4,5,41
10,4,60
9,11,91
6,9,69
9,8,76
5,7,55
6,11,79
5,10,70
9,5,61
8,11,87
11,5,69
9,11,91
11,8,84
5,9,65
8,11,87
9,9,81
5,11,75
6,10,74
10,7,75
10,5,65
7,5,53
4,7,51
7,4,48
11,10,94
4,8,56
5,10,70
7,9,73
11,8,84
8,9,77
6,4,44
9,7,71
8,9,77
10,4,60
9,7,71
11,5,69
5,4,40
5,5,45
4,8,56
7,8,68
8,10,82
7,8,68
5,9,65
5,7,55
11,10,94
9,4,56
5,5,45
7,7,63
4,10,66
6,7,59
10,10,90
7,7,63
6,9,69
7,9,73
7,5,53
4,7,51
6,10,74
8,4,52
6,7,59
10,11,95
8,8,72
6,10,74
6,11,79
6,9,69
10,5,65
7,11,83
8,9,77
4,4,36
7,10,78
9,9,81
11,9,89
9,4,56
5,7,55
7,4,48
9,10,86
10,5,65
8,10,82
11,8,84
6,4,44
9,6,66
11,9,89
5,5,45
6,11,79
8,7,67
4,4,36
11,4,64
9,11,91
4,6,46
7,7,63
6,5,49
4,7,51
9,11,91
8,11,87
11,11,99
10,7,75
4,10,66
11,11,99
9,9,81
11,5,69
10,9,85
9,7,71
9,6,66
11,5,69
4,7,51
4,11,71
8,11,87
5,5,45
7,4,48
10,5,65
10,8,80
4,8,56
7,9,73
7,6,58
7,8,68
6,5,49
5,6,50
4,11,71
8,11,87
8,8,72
5,10,70
11,4,64
8,6,62
4,4,36
6,11,79
5,8,60
4,4,36
5,5,45
9,11,91
7,11,83
8,4,52
4,4,36
7,10,78
10,4,60
7,8,68
9,7,71
11,11,99
6,5,49
9,6,66
4,10,66
7,4,48
4,8,56
5,7,55
6,9,69
5,5,45
5,7,55
9,5,61
7,10,78
10,8,80
5,7,55
11,4,64
9,10,86
10,6,70
4,7,51
10,5,65
10,9,85
6,10,74
6,10,74
9,10,86
5,10,70
7,6,58
5,8,60
8,10,82
10,5,65
4,8,56
10,11,95
9,7,71
10,6,70
11,7,79
6,9,69
11,11,99
7,11,83
10,9,85
11,11,99
11,4,64
7,11,83
8,11,87
10,5,65
8,6,62
4,6,46
11,10,94
5,8,60
11,7,79
11,4,64
7,4,48
4,10,66
10,4,60
11,6,74
5,6,50
10,4,60
8,11,87
10,5,65
6,10,74
10,4,60
9,6,66
8,7,67
10,5,65
7,6,58
10,7,75
4,6,46
6,6,54
7,9,73
6,5,49
6,11,79
8,11,87
4,6,46
10,9,85
9,9,81
8,5,57
11,6,74
11,6,74
7,8,68
9,5,61
9,10,86
5,10,70
6,9,69
9,10,86
7,9,73
7,10,78
9,9,81
5,7,55
8,6,62
10,4,60
10,5,65
5,8,60
4,7,51
7,8,68
8,9,77
11,8,84
10,8,80
7,10,78
4,11,71
7,10,78
11,4,64
10,9,85
11,7,79
8,11,87
7,8,68
7,7,63
11,11,99
10,5,65
7,10,78
9,6,66
11,10,94
8,9,77
9,10,86
7,10,78
9,7,71
5,11,75
11,11,99
11,6,74
8,11,87
5,11,75
9,6,66
6,5,49
11,9,89
5,4,40
9,11,91
8,10,82
4,11,71
5,7,55
4,7,51
10,11,95
7,7,63
11,8,84
7,10,78
5,11,75
4,9,61
5,7,55
7,6,58
4,10,66
5,10,70
5,9,65
9,8,76
8,8,72
5,6,50
9,9,81
6,5,49
10,4,60
10,7,75
7,7,63
11,5,69
4,5,41
5,4,40
10,6,70
7,4,48
4,10,66
7,8,68
8,6,62
7,11,83
4,9,61
10,8,80
10,11,95
5,10,70
7,4,48
9,9,81
8,5,57
9,10,86
8,6,62
5,7,55
10,4,60
8,5,57
7,6,58
10,5,65
9,4,56
4,7,51
4,11,71
7,10,78
5,7,55
7,6,58
8,8,72
11,8,84
10,4,60
4,10,66
8,7,67
7,7,63
11,11,99
4,8,56
10,5,65
7,8,68
10,8,80
6,8,64
7,11,83
8,8,72
9,8,76
8,8,72
9,5,61
4,10,66
11,4,64
11,8,84
10,11,95
9,10,86
6,10,74
9,5,61
11,11,99
11,8,84
9,10,86
5,5,45
4,8,56
7,7,63
4,4,36
7,5,53
10,4,60
5,5,45
6,11,79
10,4,60
11,10,94
10,7,75
6,4,44
4,10,66
4,10,66
5,9,65
6,4,44
7,5,53
10,10,90
10,9,85
11,9,89
4,6,46
6,11,79
5,11,75
7,10,78
8,5,57
4,6,46
11,9,89
6,5,49
10,9,85
10,7,75
11,10,94
8,10,82
6,6,54
6,10,74
5,4,40
9,11,91
4,9,61
10,6,70
4,10,66
8,9,77
7,4,48
11,6,74
10,7,75
5,5,45
8,11,87
8,11,87
4,7,51
11,10,94
5,6,50
11,9,89
5,5,45
4,9,61
5,5,45
9,4,56
9,5,61
9,11,91
11,11,99
5,4,40
5,4,40
11,5,69
6,5,49
11,5,69
11,5,69
5,10,70
9,5,61
8,5,57
9,7,71
5,10,70
11,9,89
8,6,62
5,11,75
7,5,53
8,11,87
8,4,52
6,9,69
5,6,50
9,7,71
4,5,41
8,5,57
4,7,51
8,5,57
7,4,48
10,9,85
5,4,40
5,10,70
11,8,84
9,9,81
9,4,56
5,7,55
6,10,74
8,5,57
10,5,65
9,11,91
4,7,51
7,4,48
7,6,58
4,9,61
9,7,71
11,8,84
10,4,60
10,7,75
4,9,61
6,4,44
11,10,94
11,4,64
11,5,69
9,4,56
5,11,75
5,6,50
9,4,56
4,7,51
9,6,66
5,11,75
11,9,89
10,5,65
6,7,59
11,7,79
5,9,65
8,7,67
7,4,48
8,5,57
8,9,77
5,8,60
10,8,80
5,9,65
7,9,73
6,6,54
5,5,45
